Geneid	X1_1.bam	X1_2.bam	X1_3.bam	XX1_1.bam	XX1_2.bam	XX1_3.bam	XXX2_1.bam	XXX2_2.bam	XXX2_3.bam
MELO3C027223.2	0	5	5	0	0	1	0	0	0
MELO3C027529.2	0	0	0	0	0	0	0	0	0
MELO3C027750.2	0	0	0	0	0	0	0	0	0
MELO3C027754.2	0	0	0	0	0	0	0	0	0
MELO3C027752.2	0	0	0	0	0	0	0	0	0
MELO3C027751.2	2	0	0	0	0	0	0	0	0
MELO3C027758.2	0	0	0	0	0	0	0	0	0
MELO3C027235.2	0	0	0	0	0	0	4	6	0
MELO3C027227.2	5	12	15	0	26	4	6	6	25
MELO3C027533.2	0	0	0	0	0	0	0	0	0
MELO3C027228.2	0	0	0	0	0	0	0	0	0
MELO3C027532.2	0	0	0	0	0	0	0	0	0
MELO3C027756.2	0	0	0	0	0	1	0	0	0
MELO3C027534.2	0	0	0	0	0	0	0	0	0
MELO3C027233.2	0	0	0	0	0	0	0	0	0
MELO3C027764.2	27	14	20	0	0	0	0	0	0
MELO3C027759.2	0	0	0	0	0	0	0	0	0
MELO3C027762.2	0	0	0	0	0	0	0	0	0
MELO3C027239.2	1719	1633	2058	3392	4223	2117	1556	2313	1033
MELO3C027761.2	0	0	0	0	0	0	0	0	0
MELO3C027769.2	4	0	0	0	0	0	0	0	0
MELO3C027773.2	330	171	267	633	776	590	337	435	351
MELO3C027241.2	5249	5807	7967	6035	8634	6186	3322	4789	3595
MELO3C027772.2	0	0	0	0	0	0	0	0	0
MELO3C027242.2	241	226	273	313	376	211	185	255	208
MELO3C027775.2	0	0	0	5	0	0	0	0	2
MELO3C001279.2	0	0	0	0	0	0	0	0	0
MELO3C027244.2	401	469	661	740	1288	941	789	902	1284
MELO3C027777.2	0	0	0	0	0	0	0	0	0
MELO3C027786.2	0	0	0	0	0	0	0	0	0
MELO3C027250.2	26	16	23	25	21	17	24	6	11
MELO3C027253.2	23	52	85	77	74	36	75	149	74
MELO3C027536.2	0	0	0	0	0	0	0	0	0
MELO3C027257.2	1	8	2	0	1	1	0	2	3
MELO3C027537.2	0	0	0	6	0	1	0	0	2
MELO3C027539.2	0	0	0	0	0	0	0	0	0
MELO3C027540.2	0	0	0	0	0	0	0	0	0
MELO3C027255.2	0	0	0	4	5	3	8	7	23
MELO3C027254.2	93	114	142	112	85	52	2066	430	1931
MELO3C027785.2	0	4	0	0	0	0	0	0	0
MELO3C027541.2	0	0	0	0	0	0	0	0	0
MELO3C027795.2	0	0	0	0	0	0	0	0	0
MELO3C027538.2	18	5	9	0	0	0	0	0	0
MELO3C027792.2	0	0	0	0	0	0	0	0	0
MELO3C027543.2	0	0	0	0	0	0	0	0	0
MELO3C027544.2	0	0	0	0	0	0	0	0	0
MELO3C027542.2	0	0	0	0	0	0	0	0	0
MELO3C027794.2	0	0	0	0	0	0	0	0	0
MELO3C027262.2	0	0	0	0	0	0	0	0	0
MELO3C027535.2	0	0	0	0	0	0	0	0	0
MELO3C027261.2	1211	1057	1339	1649	2263	1458	1254	1159	1081
MELO3C027788.2	2	0	0	0	0	0	0	0	0
MELO3C027793.2	0	0	0	0	0	0	2	0	0
MELO3C027791.2	2	2	1	0	0	0	0	0	5
MELO3C027548.2	0	0	0	0	0	0	0	0	0
MELO3C027265.2	0	0	0	0	0	0	0	0	0
MELO3C027550.2	0	0	0	0	0	0	0	0	0
MELO3C027266.2	1781	1555	1730	4130	4202	1314	1426	2049	1880
MELO3C027545.2	0	0	0	0	0	0	0	0	0
MELO3C027801.2	297	278	561	384	565	507	366	449	434
MELO3C027268.2	0	0	0	0	0	0	0	0	0
MELO3C027549.2	0	0	0	0	0	0	0	0	0
MELO3C027271.2	439	464	604	623	750	536	775	690	721
MELO3C027546.2	0	0	0	0	0	0	0	0	0
MELO3C027547.2	0	0	0	0	0	0	0	0	0
MELO3C027269.2	0	0	0	0	0	0	0	0	0
MELO3C027809.2	8	9	4	0	0	0	2	0	1
MELO3C027275.2	0	0	0	0	0	0	0	0	0
MELO3C027551.2	0	0	0	0	0	0	0	0	0
MELO3C027274.2	0	0	0	0	0	0	0	0	0
MELO3C027277.2	0	0	3	0	0	0	0	0	0
MELO3C027276.2	0	0	0	0	0	0	0	0	0
MELO3C027812.2	0	0	0	1	1	1	1	0	0
MELO3C027813.2	0	0	0	0	1	0	0	0	0
MELO3C027291.2	0	0	0	0	0	0	0	0	0
MELO3C027278.2	12	5	0	4	8	10	6	16	9
MELO3C027285.2	0	0	0	0	0	0	0	0	0
MELO3C027554.2	0	0	0	0	0	0	0	0	0
MELO3C027288.2	603	444	607	281	442	113	515	629	196
MELO3C027818.2	0	0	0	0	0	0	0	0	0
MELO3C027820.2	1	2	8	93	57	85	27	83	33
MELO3C027823.2	3	5	7	60	138	77	202	129	183
MELO3C027289.2	0	0	1	0	0	0	0	2	0
MELO3C027817.2	0	0	0	0	0	1	0	0	0
MELO3C027555.2	0	0	0	0	0	0	0	0	0
MELO3C027290.2	0	0	0	0	0	0	0	0	2
MELO3C027298.2	20	0	0	0	0	0	0	0	0
MELO3C027297.2	182	166	148	353	255	187	612	392	630
MELO3C027301.2	344	497	910	422	764	602	386	654	626
MELO3C027553.2	0	2	0	60	44	24	31	66	23
MELO3C027831.2	0	0	0	27	31	6	9	14	16
MELO3C027299.2	474	703	837	988	1515	719	1110	1711	1474
MELO3C027303.2	0	0	0	0	0	1	0	0	0
MELO3C027302.2	37	44	18	116	278	16	1798	1158	1769
MELO3C027832.2	1	3	0	4	3	3	3	5	4
MELO3C027305.2	0	0	0	0	0	0	0	0	0
MELO3C027306.2	0	0	0	0	0	0	0	0	0
MELO3C027838.2	0	0	0	0	0	0	0	0	0
MELO3C027839.2	0	0	0	0	0	0	0	0	0
MELO3C027308.2	4730	4383	6290	6381	9377	6047	4464	5972	4507
MELO3C027311.2	0	0	0	0	0	0	0	0	0
MELO3C027309.2	0	0	0	0	0	0	0	0	0
MELO3C027312.2	0	0	0	0	0	0	0	0	0
MELO3C027849.2	17	20	10	10	27	22	26	24	32
MELO3C027843.2	0	0	0	0	0	0	0	0	0
MELO3C027556.2	0	0	0	0	0	0	0	0	0
MELO3C027316.2	0	0	0	0	0	0	0	0	0
MELO3C027557.2	0	0	0	0	0	0	0	0	0
MELO3C027851.2	0	0	0	0	0	0	0	5	0
MELO3C027320.2	0	0	0	0	0	0	0	0	0
MELO3C027321.2	0	0	0	0	0	0	3	1	2
MELO3C027322.2	0	0	0	0	0	0	0	0	0
MELO3C027854.2	7	4	2	15	0	6	1	4	15
MELO3C027326.2	0	2	0	2	0	0	0	0	0
MELO3C027564.2	0	0	0	0	0	0	0	0	0
MELO3C027325.2	242	220	383	685	964	242	649	1545	983
MELO3C027860.2	720	810	1119	695	1237	847	507	705	833
MELO3C027863.2	0	0	0	0	0	0	0	0	0
MELO3C027328.2	13	10	4	4	11	4	17	0	28
